5003,AE Roundy POP,FAMILY,4.4,5262,26M,"100,000+",False,0.0,Everyone,Casual,2016-03-23,1.1.2,2.3 and up
5004,Mupen64+AE FREE (N64 Emulator),GAME,4.0,41759,12M,"1,000,000+",False,0.0,Everyone,Arcade,2014-01-19,2.4.4,2.0 and up
5005,Mupen64Plus AE (N64 Emulator),GAME,4.2,4569,12M,"100,000+",False,1.0,Everyone,Arcade,2014-01-19,2.4.4,2.0 and up
5006,AE Lucky Fishing,GAME,4.3,18277,17M,"1,000,000+",False,0.0,Teen,Arcade,2016-03-14,2.0.2,2.3 and up
5007,AE Video Poker,GAME,4.0,721,18M,"50,000+",False,0.0,Teen,Casino,2015-12-31,1.3.2,2.3 and up
5008,AE Solitaire,GAME,4.3,1776,26M,"50,000+",False,0.0,Everyone,Card,2018-01-04,2.3.4,4.0.3 and up
5009,AE Archer,SPORTS,3.9,8638,Varies with device,"500,000+",False,0.0,Everyone,Sports,2015-09-02,Varies with device,Varies with device
5010,AE Blackjack,GAME,4.0,1417,17M,"100,000+",False,0.0,Teen,Card,2015-11-27,1.3.1,2.3 and up
5011,AE Gun Ball: arcade ball games,GAME,3.7,8581,12M,"1,000,000+",False,0.0,Everyone,Arcade,2013-12-13,1.0.2,2.2 and up
5012,AE Order,TOOLS,4.1,19,317k,"1,000+",False,0.0,Everyone,Tools,2013-11-12,2.0.131112,2.3 and up
5013,TV.AE,FAMILY,3.9,109,7.5M,"10,000+",False,0.0,Everyone,Entertainment,2017-09-21,1.0.4,4.4 and up
5014,AE 3D MOTOR :Racing Games Free,GAME,4.2,74902,Varies with device,"5,000,000+",False,0.0,Everyone,Racing,2016-08-26,Varies with device,Varies with device
5015,AE Garage,AUTO_AND_VEHICLES,4.4,64,66M,"1,000+",False,0.0,Everyone,Auto & Vehicles,2017-06-27,1.0,4.1 and up
5016,AE Bulletins,BOOKS_AND_REFERENCE,4.5,14,30M,"1,000+",False,0.0,Everyone,Books & Reference,2018-07-18,2.2.5,4.0.3 and up
5017,AE GTO Racing,GAME,3.9,6988,35M,"100,000+",False,0.0,Everyone 10+,Racing,2015-09-24,Varies with device,Varies with device
5018,AE 3D Moto 3,GAME,3.9,2588,26M,"100,000+",False,0.0,Everyone 10+,Racing,2014-12-31,1.7.1,2.3 and up
5019,AE FreeCell,GAME,4.2,358,15M,"10,000+",False,0.0,Everyone,Card,2014-11-06,1.1.5,2.3 and up
5020,AE City Jump,GAME,4.5,804,27M,"10,000+",False,0.0,Everyone,Action,2018-07-18,1.0.4,4.0 and up
5021,AE Angry Chef,GAME,4.1,533,39M,"10,000+",False,0.0,Everyone 10+,Action,2014-01-24,1.0,2.1 and up
5022,Ae Allah na Dai (Rasa),BOOKS_AND_REFERENCE,4.7,263,9.1M,"10,000+",False,0.0,Everyone,Books & Reference,2015-01-01,2.0,2.1 and up
5023,Dashboard AE,AUTO_AND_VEHICLES,,0,13M,10+,False,0.0,Everyone,Auto & Vehicles,2018-05-16,1255162018,6.0 and up
5024,FilmoraGo - Free Video Editor,VIDEO_PLAYERS,4.4,238459,35M,"10,000,000+",False,0.0,Everyone,Video Players & Editors,2018-06-06,3.1.4,4.2 and up
5025,Event Manager - AllEvents.in,EVENTS,4.7,120,5.1M,"10,000+",False,0.0,Everyone,Events,2018-07-25,2.5,4.0.3 and up
5026,Nasihat - Chalo ae Pyaara,FAMILY,4.7,557,6.7M,"10,000+",False,0.0,Everyone,Education,2015-10-09,1.0,2.1 and up
5027,AE Master Moto,GAME,4.0,17876,37M,"1,000,000+",False,0.0,Everyone,Racing,2015-12-10,1.8.6,2.3 and up
5028,Brica BPRO5 AE,PHOTOGRAPHY,3.9,4726,3.9M,"500,000+",False,0.0,Everyone,Photography,2015-06-17,v1.0,3.1 and up
5029,AE Manager,TOOLS,,0,4.0M,100+,False,0.0,Everyone,Tools,2015-06-15,1.0.0,4.0.3 and up
5030,AE Air Hockey,SPORTS,3.8,926,7.6M,"50,000+",False,0.0,Everyone,Sports,2013-08-01,1.0.0,2.2 and up
5031,Connect.ae - Local Search UAE,TRAVEL_AND_LOCAL,3.9,194,Varies with device,"10,000+",False,0.0,Everyone,Travel & Local,2018-04-05,Varies with device,Varies with device
5032,AE Fishing Hunter,GAME,4.4,14,6.6M,"1,000+",False,0.0,Everyone,Adventure,2016-03-15,0.0.3,3.0 and up
5033,ActionDirector Video Editor - Edit Videos Fast,VIDEO_PLAYERS,4.5,74531,32M,"5,000,000+",False,0.0,Everyone,Video Players & Editors,2018-06-15,2.12.0,4.3 and up
5034,Ivanti AE Agent,BUSINESS,,1,2.9M,"1,000+",False,0.0,Everyone,Business,2018-05-10,11.0.0,4.0.3 and up
5035,AE Checkout Plugin,SHOPPING,3.8,208,78k,"10,000+",False,0.0,Everyone,Shopping,2015-02-11,1.3.1,2.3 and up
5036,NewTek NDI,PHOTOGRAPHY,3.5,77,1.2M,"1,000+",False,20.0,Everyone,Photography,2016-10-26,1.1,4.1 and up
5037,AfterFocus,PHOTOGRAPHY,4.2,165224,15M,"10,000,000+",False,0.0,Everyone,Photography,2016-07-08,2.1.0,4.0.3 and up
5038,AF Link,NEWS_AND_MAGAZINES,4.7,210,18M,"10,000+",False,0.0,Everyone,News & Magazines,2018-05-31,v4.29.0.9,4.4 and up
5039,AF Hydro,HEALTH_AND_FITNESS,2.0,136,15M,"10,000+",False,0.0,Everyone,Health & Fitness,2018-05-12,1.0.5,4.4 and up
5040,Gunship III Vietnam People AF,FAMILY,4.3,726,19M,"5,000+",False,5.0,Everyone,Simulation,2016-12-09,3.8.4,2.3.3 and up
5041,AF Comics Reader - Free,COMICS,2.8,5,4.1M,100+,False,0.0,Everyone,Comics,2017-11-10,1.0,4.1 and up
5042,Camera FV-5 Lite,PHOTOGRAPHY,4.0,130063,5.6M,"10,000,000+",False,0.0,Everyone,Photography,2017-11-10,3.31.4,4.0 and up
5043,Flim Af Somali Hindi Fanproj,FAMILY,3.9,12,3.5M,"1,000+",False,0.0,Everyone,Entertainment,2018-06-22,1.0,4.0 and up
5044,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.2,4559,6.4M,"100,000+",False,0.0,Everyone,Medical,2018-07-27,117,3.0 and up
5045,DSLR camera - Auto Focus and Blur Professional,PHOTOGRAPHY,3.4,30,3.0M,"10,000+",False,0.0,Everyone,Photography,2018-04-18,5.1.2,4.0.3 and up
5046,AF-STROKE (FREE),MEDICAL,4.5,93,924k,"10,000+",False,0.0,Teen,Medical,2013-01-25,1.1,2.1 and up
5047,Hesab.af - Send money in Afghanistan,FINANCE,4.7,51,11M,"1,000+",False,0.0,Everyone,Finance,2018-04-15,1.4.0,4.1 and up
5048,AppFinder by AppTap,TOOLS,2.0,2221,4.9M,"5,000,000+",False,0.0,Everyone,Tools,2017-10-03,1.8.2.7,5.0 and up
5049,iFunny :),FAMILY,4.4,503757,Varies with device,"10,000,000+",False,0.0,Mature 17+,Entertainment,2018-08-02,Varies with device,Varies with device
5050,Toppen af Danmark,TRAVEL_AND_LOCAL,,8,6.1M,"5,000+",False,0.0,Everyone,Travel & Local,2018-06-28,8.3.0,4.4 and up
5051,AF-STROKE,MEDICAL,,5,902k,100+,False,5.0,Teen,Medical,2013-12-19,1.3,2.1 and up
5052,i-share AF/KLM (AFKL ishare),SOCIAL,,2,53M,100+,False,0.0,Teen,Social,2018-07-21,1.16.5,4.1 and up
5053,Bazar.af,SHOPPING,4.7,13,1.3M,500+,False,0.0,Everyone,Shopping,2017-07-07,cli-6.5.0,4.0 and up
5054,DSLR Blur Camera Auto Focus,TOOLS,3.3,75,4.7M,"10,000+",False,0.0,Everyone,Tools,2018-06-07,1.3,4.0.3 and up
5055,Ariana News AF,NEWS_AND_MAGAZINES,4.1,20,3.1M,"5,000+",False,0.0,Everyone,News & Magazines,2017-07-10,1.1,4.0 and up
5056,AF Legendary 2017,BUSINESS,,0,11M,50+,False,0.0,Teen,Business,2017-09-30,v2.7.11.6,4.1 and up
5057,AR effect,PHOTOGRAPHY,4.2,79792,Varies with device,"100,000,000+",False,0.0,Everyone,Photography,2018-08-03,Varies with device,Varies with device
5058,ASUS PixelMaster Camera,PHOTOGRAPHY,4.4,626366,Varies with device,"10,000,000+",False,0.0,Everyone,Photography,2016-06-29,Varies with device,Varies with device
5059,AzadBazar.af,SHOPPING,,3,3.7M,100+,False,0.0,Everyone,Shopping,2018-03-09,1.0,4.0 and up
5060,easyFocus,PHOTOGRAPHY,3.7,3396,266k,"500,000+",False,0.0,Everyone,Photography,2012-11-28,1.2.0,2.2 and up
5061,AF Nutrition - Integratori,HEALTH_AND_FITNESS,,6,19M,100+,False,0.0,Everyone,Health & Fitness,2018-08-02,1.3,4.1 and up
5062,Open Camera,PHOTOGRAPHY,4.3,116769,2.0M,"10,000,000+",False,0.0,Everyone,Photography,2018-04-23,1.43.3,4.0.3 and up
5063,Blur Image - DSLR focus effect,PHOTOGRAPHY,3.9,38055,4.1M,"5,000,000+",False,0.0,Everyone,Photography,2017-06-16,1.17,4.0 and up
5064,Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,LIFESTYLE,5.0,7,3.4M,"1,000+",False,0.0,Everyone,Lifestyle,2018-06-09,1.4,4.0 and up
