,App,Category,Rating,Reviews,Size,Installs,Free,Price_dollars,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1000,"Imgur: Find funny GIFs, memes & watch viral videos",ENTERTAINMENT,4.3,160164,12M,"10,000,000+",False,0.0,Teen,Entertainment,2018-08-01,4.2.0.8447,5.0 and up
1001,Meme Generator,ENTERTAINMENT,4.6,3771,53M,"100,000+",False,3.0,Mature 17+,Entertainment,2018-08-03,4.426,4.1 and up
1002,SketchBook - draw and paint,ENTERTAINMENT,4.3,256664,77M,"10,000,000+",False,0.0,Everyone,Entertainment,2018-05-04,4.1.7,4.0.3 and up
1003,Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,4.5,787177,Varies with device,"10,000,000+",False,0.0,Everyone,Entertainment,2018-06-20,Varies with device,Varies with device
1004,All Events in City,EVENTS,4.0,3782,9.5M,"100,000+",False,0.0,Everyone,Events,2018-06-12,8.4,4.0.3 and up
1005,Ticketmaster Event Tickets,EVENTS,4.0,40113,36M,"5,000,000+",False,0.0,Everyone,Events,2018-07-23,Varies with device,Varies with device
1006,Reminder,EVENTS,4.5,7074,6.3M,"500,000+",False,0.0,Everyone,Events,2018-06-25,1.57,4.1 and up
1007,Birdays - Birthday reminder,EVENTS,4.5,2153,5.9M,"50,000+",False,0.0,Everyone,Events,2017-12-14,1.5.0,4.1 and up
1008,"StubHub - Tickets to Sports, Concerts & Events",EVENTS,4.0,26089,Varies with device,"5,000,000+",False,0.0,Everyone,Events,2018-08-02,4.2.1,Varies with device
1009,Fever,EVENTS,4.0,20611,12M,"1,000,000+",False,0.0,Teen,Events,2018-07-18,4.3.6,4.1 and up
1010,DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",False,0.0,Everyone,Events,2018-05-29,3.8,4.0 and up
1011,"SeatGeek – Tickets to Sports, Concerts, Broadway",EVENTS,4.4,15558,26M,"1,000,000+",False,0.0,Everyone,Events,2018-08-03,2018.07.31229,5.0 and up
1012,my4D,EVENTS,4.6,573,8.7M,"100,000+",False,0.0,Everyone,Events,2018-07-12,1.40,4.2 and up
1013,VAN NIAN 2018 - Vietnamese Calendar,EVENTS,,37,16M,"10,000+",False,0.0,Everyone,Events,2017-11-27,1.0,4.0 and up
1014,Vivid Seats – Event Tickets,EVENTS,4.6,8232,53M,"1,000,000+",False,0.0,Everyone,Events,2018-07-31,Varies with device,5.0 and up
1015,Name days,EVENTS,4.1,3089,Varies with device,"100,000+",False,0.0,Everyone,Events,2018-07-12,Varies with device,Varies with device
1016,LBB - Find New & Unique Things To Do Around You,EVENTS,4.6,3874,14M,"100,000+",False,0.0,Everyone,Events,2018-07-27,4.0.19,4.2 and up
