,App,Category,Rating,Reviews,Size,Installs,Free,Price_dollars,Content Rating,Genres,Last Updated,Current Ver,Android Ver
2001,Block Puzzle Classic Legend !,GAME,4.2,17044,4.9M,"5,000,000+",False,0.0,Everyone,Puzzle,2018-04-13,2.9,2.3.3 and up
2002,Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,Varies with device,"10,000,000+",False,0.0,Everyone,Puzzle,2018-08-03,1.3.35,4.1 and up
2003,Pixel Art: Color by Number Game,GAME,4.7,1125566,25M,"10,000,000+",False,0.0,Everyone,Puzzle,2018-07-17,3.9.2,4.3 and up
2004,Score! Hero,GAME,4.6,5419676,96M,"100,000,000+",False,0.0,Everyone,Sports,2018-06-13,1.751,4.4 and up
2005,Super Jabber Jump 3,GAME,4.3,34494,23M,"5,000,000+",False,0.0,Everyone 10+,Arcade,2018-07-11,2.5.3182,2.3 and up
2006,Rush,GAME,4.6,260651,51M,"10,000,000+",False,0.0,Everyone,Arcade,2018-02-14,1.1,4.0 and up
2007,Jetpack Joyride,GAME,4.4,4638163,96M,"100,000,000+",False,0.0,Everyone 10+,Arcade,2018-07-19,1.10.12,4.1 and up
2008,Zombie Tsunami,GAME,4.4,4921409,Varies with device,"100,000,000+",False,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device,Varies with device
2009,DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468638,Varies with device,"50,000,000+",False,0.0,Mature 17+,Action,2018-07-23,Varies with device,Varies with device
2010,Word Search,GAME,4.2,344585,Varies with device,"50,000,000+",False,0.0,Everyone,Word,2018-07-02,Varies with device,Varies with device
2011,Farm Heroes Saga,GAME,4.4,7614407,70M,"100,000,000+",False,0.0,Everyone,Casual,2018-07-26,5.1.8,2.3 and up
2012,Racing in Car 2,GAME,4.3,234110,38M,"50,000,000+",False,0.0,Everyone,Racing,2016-11-22,1.0,2.3.3 and up
2013,Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,"10,000,000+",False,0.0,Everyone,Simulation;Action & Adventure,2018-05-22,1.4.12,4.1 and up
2014,YouTube Kids,FAMILY,4.5,470694,Varies with device,"50,000,000+",False,0.0,Everyone,Entertainment;Music & Video,2018-08-03,3.43.3,4.1 and up
2015,Candy Bomb,FAMILY,4.4,42145,20M,"10,000,000+",False,0.0,Everyone,Casual;Brain Games,2018-07-04,2.9.3181,4.0.3 and up
2016,ROBLOX,FAMILY,4.5,4449910,67M,"100,000,000+",False,0.0,Everyone 10+,Adventure;Action & Adventure,2018-07-31,2.347.225742,4.1 and up
2017,Jewels Crush- Match 3 Puzzle,FAMILY,4.4,14774,19M,"1,000,000+",False,0.0,Everyone,Casual;Brain Games,2018-07-23,1.9.3901,4.0.3 and up
2018,Coloring & Learn,FAMILY,4.4,12753,51M,"5,000,000+",False,0.0,Everyone,Educational;Creativity,2018-07-17,1.49,4.0.3 and up
2019,Mahjong,FAMILY,4.5,33983,22M,"5,000,000+",False,0.0,Everyone,Puzzle;Brain Games,2018-08-02,1.24.3181,4.0.3 and up
2020,Super ABC! Learning games for kids! Preschool apps,FAMILY,4.6,20267,46M,"1,000,000+",False,0.0,Everyone,Educational;Education,2018-07-16,1.1.6.7,4.1 and up
2021,Toy Pop Cubes,FAMILY,4.5,5761,21M,"1,000,000+",False,0.0,Everyone,Casual;Brain Games,2018-07-04,1.8.3181,4.0.3 and up
2022,Educational Games 4 Kids,FAMILY,4.3,11618,39M,"5,000,000+",False,0.0,Everyone,Educational;Education,2018-04-03,2.4,4.1 and up
2023,Candy Pop Story,FAMILY,4.7,12948,23M,"1,000,000+",False,0.0,Everyone,Casual;Brain Games,2018-05-24,2.0.3165,2.3 and up
2024,Solitaire,FAMILY,4.4,685,26M,"100,000+",False,0.0,Everyone,Card;Brain Games,2018-07-16,1.7.101,4.1 and up
2025,Princess Coloring Book,FAMILY,4.5,9779,39M,"5,000,000+",False,0.0,Everyone,Education;Creativity,2018-02-25,1.2.8,4.0 and up
2026,Hello Kitty Nail Salon,FAMILY,4.2,369378,24M,"50,000,000+",False,0.0,Everyone,Casual;Pretend Play,2018-04-17,1.5,4.1 and up
2027,Candy Smash,FAMILY,4.5,11436,15M,"1,000,000+",False,0.0,Everyone,Casual;Brain Games,2018-04-17,2.2.3169,4.0.3 and up
2028,Happy Fruits Bomb - Cube Blast,FAMILY,4.5,2150,20M,"500,000+",False,0.0,Everyone,Casual;Brain Games,2018-02-01,1.0.3122,4.0.3 and up
2029,Dog Run - Pet Dog Simulator,FAMILY,4.7,48615,24M,"10,000,000+",False,0.0,Everyone,Simulation;Action & Adventure,2018-05-22,1.4.12,4.1 and up
2030,Princess Adventures Puzzles,FAMILY,4.4,382,44M,"500,000+",False,0.0,Everyone,Education;Creativity,2018-08-01,1.1.0,2.3 and up
2031,Kids Educational Game 3 Free,FAMILY,4.3,24936,38M,"5,000,000+",False,0.0,Everyone,Educational;Education,2018-05-16,3.1,4.1 and up
2032,Puzzle Kids - Animals Shapes and Jigsaw Puzzles,FAMILY,4.6,1109,52M,"1,000,000+",False,0.0,Everyone,Educational;Brain Games,2018-07-18,1.0.6,4.1 and up
2033,Coloring book moana,FAMILY,3.9,974,14M,"500,000+",False,0.0,Everyone,Art & Design;Pretend Play,2018-01-15,2.0.0,4.0.3 and up
2034,Baby Panda Care,FAMILY,4.2,108795,49M,"10,000,000+",False,0.0,Everyone,Educational;Pretend Play,2018-06-15,8.25.10.00,4.0.3 and up
2035,Kids Educational :All in One,FAMILY,4.5,1455,8.9M,"500,000+",False,0.0,Everyone,Education;Education,2018-02-01,2.7,2.3 and up
