,App,Category,Rating,Reviews,Size,Installs,Free,Price_dollars,Content Rating,Genres,Last Updated,Current Ver,Android Ver
9008,DW Timer,TOOLS,5.0,9,1.5M,100+,False,0.0,Everyone,Tools,2017-04-05,1.0,1.6 and up
9009,DW Streaming,SOCIAL,,0,Varies with device,"1,000+",False,0.0,Everyone,Social,2017-05-27,Varies with device,Varies with device
9010,RETRO Shocked DW-6000,PERSONALIZATION,5.0,13,500k,100+,False,1.5,Everyone,Personalization,2017-04-04,1.2,2.3 and up
9011,VMAX IP Plus Mobile Client,BUSINESS,2.0,9,3.4M,"1,000+",False,0.0,Everyone,Business,2017-06-09,1.1.12,2.3 and up
9012,Rose Gold DW Watch Theme,PERSONALIZATION,,1,3.3M,100+,False,0.0,Everyone,Personalization,2018-07-25,1.1.1,4.0 and up
9013,DW Maps,TRAVEL_AND_LOCAL,3.7,35,13M,"10,000+",False,0.0,Everyone,Travel & Local,2017-06-06,1.9,2.3.3 and up
9014,DW Uninstall Applications,TOOLS,,0,2.5M,10+,False,0.0,Everyone,Tools,2017-02-05,1.0,2.3 and up
9015,Bodyworks DW,HEALTH_AND_FITNESS,,0,10M,10+,False,0.0,Everyone,Health & Fitness,2018-07-09,4.2.2,4.1 and up
9016,DW Cleaner,TOOLS,,7,3.0M,500+,False,0.0,Everyone,Tools,2018-08-05,1.7,4.0 and up
9017,DW Missed call cleaner patch,TOOLS,3.9,65,54k,"5,000+",False,0.0,Everyone,Tools,2014-11-27,1.4,2.0 and up
9018,Swahili Radio,NEWS_AND_MAGAZINES,4.5,171,4.8M,"10,000+",False,0.0,Everyone,News & Magazines,2018-05-30,3.0,4.0 and up
9019,Black Classic DW Watch Theme,PERSONALIZATION,,1,2.9M,100+,False,0.0,Everyone,Personalization,2018-07-25,1.1.1,4.0 and up
9020,White Classic Petite Watch Theme for DW,LIFESTYLE,,2,3.0M,500+,False,0.0,Everyone,Lifestyle,2018-07-24,1.1.1,4.0 and up
9021,D.W Bien Être,HEALTH_AND_FITNESS,,0,40M,10+,False,0.0,Everyone,Health & Fitness,2016-04-06,1.0,2.3 and up
9022,DX,SHOPPING,3.1,6697,11M,"500,000+",False,0.0,Everyone,Shopping,2018-02-01,4.2.1,4.0 and up
9023,Direct Express®,FINANCE,4.5,6156,6.6M,"500,000+",False,0.0,Everyone,Finance,2017-05-09,1.0.10,4.0 and up
9024,Retro City Rampage DX,GAME,4.7,416,16M,"10,000+",False,3.0,Teen,Action,2017-01-12,1.0.5,4.0 and up
9025,KeePass DX,TOOLS,,0,Varies with device,"5,000+",False,0.0,Everyone,Tools,2018-08-02,Varies with device,Varies with device
9026,PORTABLE SOCCER DX,SPORTS,4.4,552,1.6M,"5,000+",False,1.0,Everyone,Sports,2018-06-19,3.4,2.2 and up
9027,Across Age DX,FAMILY,3.8,5964,48M,"500,000+",False,0.0,Teen,Role Playing,2015-01-09,1.1.0,2.2 and up
9028,ZOOKEEPER DX TouchEdition,FAMILY,4.2,3195,4.6M,"100,000+",False,1.0,Everyone,Puzzle,2015-11-26,1.2.7,2.1 and up
9029,Ham DX Cluster & Spots Finder,COMMUNICATION,4.5,115,2.8M,"5,000+",False,0.0,Everyone,Communication,2016-07-15,1.4.4,4.1 and up
9030,KeePass DX Pro,TOOLS,,0,Varies with device,100+,False,6.0,Everyone,Tools,2018-08-02,Varies with device,Varies with device
9031,DX Alerts,LIFESTYLE,4.5,22,23M,"1,000+",False,0.0,Everyone,Lifestyle,2016-07-19,2.0,4.0.3 and up
9032,Piczle Lines DX,FAMILY,4.6,281,26M,"5,000+",False,0.0,Everyone,Puzzle,2018-04-15,1.4.6,4.0 and up
9033,PORTABLE SOCCER DX Lite,SPORTS,4.2,15068,2.5M,"1,000,000+",False,0.0,Everyone,Sports,2018-06-19,3.4,2.3 and up
9034,DX Spots Free,TOOLS,4.5,46,24M,"1,000+",False,0.0,Everyone,Tools,2018-05-18,2.0.402,4.1 and up
9035,3DAnimeGirl DX DreamPortrait KAWAII Girl DressUp,FAMILY,4.2,449,56M,"10,000+",False,0.0,Teen,Casual,2018-02-16,1.5,4.0 and up
9036,Bubble Shooter DX,FAMILY,4.2,636,4.0M,"100,000+",False,0.0,Everyone,Casual,2018-06-21,1.21,4.0.3 and up
9037,DX Alert,TOOLS,4.1,27,2.5M,"1,000+",False,0.0,Everyone,Tools,2016-04-28,1.131,3.2 and up
9038,Age of Procreation DX,FAMILY,4.3,1894,40M,"100,000+",False,0.0,Mature 17+,Simulation,2016-04-22,1.441,2.3 and up
9039,Chronolink DX,FAMILY,5.0,7,73M,10+,False,1.0,Everyone,Puzzle,2017-07-06,1.2,4.1 and up
9040,DX Simulation for OOO Dx Belt,FAMILY,4.6,67,31M,"10,000+",False,0.0,Everyone,Simulation,2018-08-04,1.7,4.1 and up
9041,Differential Dx Free,MEDICAL,4.0,238,Varies with device,"50,000+",False,0.0,Everyone 10+,Medical,2018-01-07,Varies with device,Varies with device
9042,Tricky Bike Stunt Rider DX,FAMILY,4.4,16,45M,500+,False,0.0,Everyone,Simulation;Education,2018-07-29,1.1.1,4.0 and up
9043,DX Gashacon Sword for Ex-Aid Henshin,FAMILY,,17,42M,"1,000+",False,0.0,Everyone,Simulation,2018-07-14,1.0,4.1 and up
9044,DX Simulation Belt for Build henshin,FAMILY,4.5,182,39M,"10,000+",False,0.0,Everyone,Simulation,2018-07-11,2.0,4.1 and up
9045,Active Soccer 2 DX,SPORTS,3.6,28,48M,500+,False,3.0,Everyone,Sports,2017-03-28,1.0.3,1.5 and up
9046,DX Simulation for Kabuto Henshin Belt 2018,FAMILY,4.6,14,7.2M,"5,000+",False,0.0,Everyone,Simulation,2018-08-06,1.5,4.0.3 and up
9047,DX Simulation for Decade Henshin Belt 2018,FAMILY,,23,10M,"5,000+",False,0.0,Everyone,Simulation,2018-08-06,1.6,4.0 and up
9048,Elemental Galaxy Dx - Match3,FAMILY,4.0,127,14M,"10,000+",False,0.0,Everyone,Puzzle,2014-03-11,1.0.9,2.2 and up
9049,DX Simulation for Double Dx Henshin Belt 2018,FAMILY,4.6,33,11M,"5,000+",False,0.0,Everyone,Simulation,2018-08-06,1.5,4.0.3 and up
