,App,Category,Rating,Reviews,Size,Installs,Free,Price_dollars,Content Rating,Genres,Last Updated,Current Ver,Android Ver
6003,Jagobd - Bangla TV(Official),FAMILY,4.3,39109,4.0M,"1,000,000+",False,0.0,Everyone,Entertainment,2017-12-20,6.5,4.0 and up
6004,Business Dictionary,BUSINESS,4.2,5988,Varies with device,"500,000+",False,0.0,Everyone,Business,2016-05-16,Varies with device,Varies with device
6005,BD Data Plan (3G & 4G),COMMUNICATION,4.4,10341,6.9M,"500,000+",False,0.0,Everyone,Communication,2018-07-05,5.2.4,4.1 and up
6006,বাংলা টিভি প্রো BD Bangla TV,FAMILY,4.3,193,14M,"10,000+",False,0.0,Everyone,Entertainment,2017-04-29,1.3,4.0 and up
6007,BD tools,TOOLS,4.0,21,210k,"10,000+",False,0.0,Everyone,Tools,2015-12-18,6.1,4.2 and up
6008,BD Provider App,HEALTH_AND_FITNESS,1.4,45,13M,"5,000+",False,0.0,Everyone,Health & Fitness,2016-09-12,1.0,4.1 and up
6009,"Izneo, Read Manga, Comics & BD",COMICS,3.3,1476,18M,"500,000+",False,0.0,Teen,Comics,2018-06-11,7.3,4.0 and up
6010,BD Radio TV Free List,FAMILY,4.3,539,13M,"50,000+",False,0.0,Everyone,Entertainment,2018-08-01,1.3,4.2 and up
6011,BD Simplist Through Their Eyes,FAMILY,,1,38M,10+,False,0.0,Everyone,Simulation,2015-12-04,1.0,4.1 and up
6012,BD Online News,NEWS_AND_MAGAZINES,4.6,30,3.8M,"1,000+",False,0.0,Everyone,News & Magazines,2018-03-20,1.5,4.0.3 and up
6013,BD Bank Interest,FINANCE,4.7,289,3.2M,"5,000+",False,0.0,Everyone,Finance,2018-05-04,1.2,4.1 and up
6014,BD Earn Pro,FAMILY,4.2,540,3.2M,"10,000+",False,0.0,Everyone,Entertainment,2018-08-01,2.4,4.1 and up
