station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115037,153,319,2017-02-22 07:59:05 UTC,999990,1,false,
1161115037,153,319,2017-02-22 07:57:28 UTC,999990,1,false,
1161115037,153,319,2017-02-22 08:01:14 UTC,999991,1,true,
1161115037,153,319,2017-02-22 08:02:00 UTC,999991,1,true,
1161115037,153,319,2017-02-22 07:57:49 UTC,999990,1,false,
1161115037,114,304,2017-02-22 08:02:15 UTC,31.5,40,false,
1161115037,122,310,2017-02-22 07:57:12 UTC,40.5,40,true,
1161115037,153,319,2017-02-22 08:01:39 UTC,999991,1,true,
1161115037,153,319,2017-02-22 07:56:44 UTC,999990,1,false,
1161115037,153,319,2017-02-22 08:02:17 UTC,999990,1,false,
1161115037,153,319,2017-02-22 08:03:03 UTC,999991,1,true,
1161115037,153,319,2017-02-22 08:03:22 UTC,999990,1,false,
1161115037,144,313,2017-02-22 08:02:15 UTC,23,23,false,
1161115037,153,319,2017-02-22 08:00:34 UTC,999990,1,false,
1161115037,153,319,2017-02-22 08:00:17 UTC,999991,1,true,
1161115037,143,313,2017-02-22 08:02:15 UTC,26.5,23,false,
1161115037,152,317,2017-02-22 08:02:15 UTC,999991,0,true,
1161115037,153,319,2017-02-22 08:02:35 UTC,999991,1,true,
1161115037,153,319,2017-02-22 07:56:52 UTC,999990,1,false,
1161115037,153,319,2017-02-22 07:57:40 UTC,999991,1,true,
1161115037,153,319,2017-02-22 07:58:10 UTC,999991,1,true,
1161115037,153,319,2017-02-22 08:02:41 UTC,999990,1,false,
1161115037,153,319,2017-02-22 07:58:53 UTC,999991,1,true,
1161115037,122,310,2017-02-22 07:56:40 UTC,40.5,40,true,
1161115037,122,310,2017-02-22 07:56:41 UTC,40.5,40,true,
1161115037,122,310,2017-02-22 07:56:40 UTC,40,40,false,
1161115037,114,304,2017-02-22 07:56:40 UTC,32,30,true,
1161115037,145,303,2017-02-22 07:56:40 UTC,999999,0,true,
1161115037,153,319,2017-02-22 07:59:50 UTC,999990,1,false,
1161115037,153,319,2017-02-22 08:03:44 UTC,999990,1,false,
1161115037,153,319,2017-02-22 08:01:48 UTC,999990,1,false,
1161115037,122,310,2017-02-22 07:57:04 UTC,40,40,false,
1161115037,153,319,2017-02-22 08:02:06 UTC,999990,1,false,
1161115037,143,313,2017-02-22 07:56:40 UTC,27,40,true,
1161115037,153,319,2017-02-22 07:57:19 UTC,999991,1,true,
1161115037,145,303,2017-02-22 08:02:15 UTC,999999,999999,false,
1161115037,153,319,2017-02-22 08:02:10 UTC,999991,1,true,
1161115037,144,313,2017-02-22 07:56:40 UTC,0,40,true,
1161115037,153,319,2017-02-22 08:03:33 UTC,999991,1,true,
1161115037,153,319,2017-02-22 07:56:40 UTC,999991,1,true,
1161115037,153,319,2017-02-22 08:01:33 UTC,999990,1,false,
1161115037,153,319,2017-02-22 07:58:13 UTC,999990,1,false,
1161115037,153,319,2017-02-22 07:59:45 UTC,999991,1,true,
1161115037,153,319,2017-02-22 07:56:47 UTC,999991,1,true,
1161115037,124,309,2017-02-22 08:09:24 UTC,209,200,false,
1161115037,153,319,2017-02-22 08:09:21 UTC,999991,1,true,
1161115037,153,319,2017-02-22 08:23:46 UTC,999991,1,true,
1161115037,153,319,2017-02-22 08:20:53 UTC,999991,1,true,
1161115037,153,319,2017-02-22 08:10:54 UTC,999990,1,false,
1161115037,121,301,2017-02-22 08:10:03 UTC,99,80,false,
